2010,1,1	2010,1,1	2005,5,01
2010,2,1	2010,2,1	2005,5,22
2010,3,1	2010,3,1	2005,7,08
2010,4,1	2010,4,1	2005,8,22
2010,5,1	2010,5,1	2005,9,22
2010,6,1	2010,6,1	2005,11,22
2010,7,1	2010,7,1	2005,11,22
2010,8,1	2010,8,1	2006,3,01
2010,9,1	2010,9,1	2006,5,08
2010,10,1	2010,10,1	2006,5,22
2010,11,1	2010,11,1	2006,6,01
2010,12,1	2010,12,1	2006,6,08
